			
CATEGORIE	NOM DES COLONNES	FORMAT	UNITE
code unique pour chaque commune (1)	CODGEO	String	
nom de la commune	commune	String	
numéro du département	code_dept	Integer	
Nom du département	nom_dept	String	
Latitude de la commune	lat-commune	Real	Degré
Longitude de al commune	long-commune	Real	Degré
Altitude moyenne de la commune	z_moyen	Integer	mètre
Statut de la commune	statut	String	
Superficie de la commune	superficie	Integer	hectare
Contour de la commune (lat –long)	geometry_commune	String	Degré
Nombres d’équipements	Hypermarché	Integer	
	Supermarché	Integer	
	Grande surface de bricolage	Integer	
	Supérette	Integer	
	Epicerie	Integer	
	Boulangerie	Integer	
	Boucherie charcuterie	Integer	
	Produits surgelés	Integer	
	Poissonnerie	Integer	
	Librairie papeterie journaux	Integer	
	Magasin de vêtements	Integer	
	Magasin d’équipements du foyer	Integer	
	Magasin de chaussures	Integer	
	Magasin d’électroménager et de matériel audio-vidéo	Integer	
	Magasin de meubles	Integer	
	Magasin d’articles de sports et de loisirs	Integer	
	Magasin de revêtements murs et sols	Integer	
	Droguerie quincaillerie bricolage	Integer	
	Parfumerie	Integer	
	Horlogerie Bijouterie	Integer	
	Fleuriste	Integer	
	Magasin d’optique	Integer	
	Magasin de matériel médical et orthopédique	Integer	
	Station-service	Integer	
Distribution des revenus disponibles par unité de consommation et composition du revenu disponible (2)	Nombre_ménages_fiscaux	Real	
	Nombre_personnes_dans_ménages_fiscaux	Real	
	Nbre_unités_de_consommation_dans_ménages_fiscaux	Real	
	médiane_du_revenu_disponible_par_unité_de_consommation_euro	Real	Euro
Résultats de l’élection présidentielle 2017 1er Tour :	P_2017_1T_cand_1er_Nom	String	
candidat arrivé en tête	P_2017_1T_cand_1er_% Voix/Exp	Real	%
Résultats de l’élection présidentielle 2017  2ième Tour	P_2017_2T_% Voix/Exp E Macron	Real	%
	P_2017_2T_% Voix/Exp M LePen	Real	%
Kilométrage de route par commune et par type (définition OSM)	residential / »accès zone résidentielle »	Real	Km
	secondary / « route départementale »	Real	Km
	service /route d’accès à un parking, batiment,zone d’activité,station service,plage, camping..	Real	Km
	tertiary / « route intercommunales »	Real	Km
	unclassified / « route communale »	Real	Km
	primary / « route nationale »	Real	Km
	motorway /autoroute	Real	Km
	trunk / voie rapide 2×2 voies + séparation centrale	Real	Km
SIRENE  DCRET	1982	Real	
Nombre annuel de créations d’entreprises (établissement) dans le secteur de l’informatique ( NAF 62 : Programmation conseil et autres activités informatiques et NAF 63 : Services d’information)Attention : ce nombre de créations correspond au nombre d’entreprises créées dans l’année qui sont toujours en activité en 2017. Les entreprises qui ont arrêté leurs activités ne sont pas tracées dans la base.	1983	Real	
	1984	Real	
	1985	Real	
	1986	Real	
	1987	Real	
	1988	Real	
	1989	Real	
	1990	Real	
	1991	Real	
	1992	Real	
	1993	Real	
	1994	Real	
	1995	Real	
	1996	Real	
	1997	Real	
	1998	Real	
	1999	Real	
	2000	Real	
	2001	Real	
	2002	Real	
	2003	Real	
	2004	Real	
	2005	Real	
	2006	Real	
	2007	Real	
	2008	Real	
	2009	Real	
	2010	Real	
	2011	Real	
	2012	Real	
	2013	Real	
	2014	Real	
	2015	Real	
	2016	Real	
	2017	Real	
Nombre total d’hommes dans la commune en 2014	Total population hommes_2014	Integer	
Nombre total d’hommes dans la commune en 2014	Total_population_femmes_2014	Integer	
Moyenne de l’âge des hommes dans la commune en 2014	moyenne_age_H_2014	Real	
Moyenne de l’âge des femmes dans la commune en 2014	moyenne_age_F_2014	Real	
Moyenne de l’âge des habitants dans la commune en 2014	moyenne_HF_2014	Real	
Nombre total d’habitants dans la commune en 2014	population_2014	Integer	
Nombre total d’habitants dans la commune en 1999	population_1999	Integer	
Nombre total d’habitants dans la commune en 1982	population_1982	Integer	
Nombre total d’habitants dans la commune en 1968	population_1968	Integer	
